"MIC"	"COUNTRY"	"ISO COUNTRY CODE (ISO 3166)"	"OPERATING MIC"	"O/S"	"NAME-INSTITUTION DESCRIPTION"	"ACRONYM"	"CITY"	"WEBSITE"	"STATUS DATE"	"STATUS"	"CREATION DATE"	"COMMENTS"
"NXSE"	"JAPAN"	"JP"	"NMRJ"	"S"	"NX SELECT JAPAN"	"NXSE"	"TOKYO"	"WWW.NOMURA.COM"	"JULY 2015"	"ACTIVE"	"JULY 2015"	"INTERNAL CROSSING PLATFORM FOR NOMURA NX SELECT"
"NXUS"	"UNITED STATES OF AMERICA"	"US"	"NXUS"	"O"	"NX ATS - CROSSING PLATFORM"		"NEW YORK"	"WWW.NOMURA.COM"	"FEBRUARY 2011"	"ACTIVE"	"FEBRUARY 2011"	"NX IS A REGISTERED ATS IN THE US MARKETS - CURRENTLY PROVIDING CROSSING FACILITIES FOR REG NMS LISTED STOCKS."
"NXVW"	"JAPAN"	"JP"	"NMRJ"	"S"	"NX VWAP"	"NXVWAP"	"TOKYO"	"WWW.NOMURA.COM"	"OCTOBER 2014"	"ACTIVE"	"OCTOBER 2014"	"INTERNAL VWAP CROSSING PLATFORM FOR NOMURA"
"NYFX"	"UNITED STATES OF AMERICA"	"US"	"BNYC"	"S"	"MILLENNIUM"		"NEW YORK"	"WWW.CONVERGEX.COM"	"OCTOBER 2010"	"ACTIVE"	"OCTOBER 2010"	"AT THE END OF DEC 2009, THE NYSE SHUT DOWN EURO-MILLENNIUM, THE EUROPEAN EQUITIES ATS. IN DEC 2009, THE CONVERGEX GROUP BOUGHT MILLENNIUM, THE US EQUITIES ATS."
"NYMS"	"UNITED STATES OF AMERICA"	"US"	"XCME"	"S"	"CME SWAPS MARKETS (NYMEX)"		"NEW YORK"	"WWW.CMEGROUP.COM"	"OCTOBER 2013"	"ACTIVE"	"OCTOBER 2013"	"REGISTERED MARKET FOR SWAP EXECUTION  OF ENERGY IN THE US"
"NYPC"	"UNITED STATES OF AMERICA"	"US"	"NYPC"	"O"	"NEW YORK PORTFOLIO CLEARING"	"NYPC"	"NEW YORK"	"WWW.NYPCLEAR.COM"	"APRIL 2012"	"ACTIVE"	"APRIL 2012"	
"NYSD"	"UNITED STATES OF AMERICA"	"US"	"XNYS"	"S"	"NYSE DARK"	"NYSEDARK"	"NEW YORK"	"WWW.NYSE.COM"	"MAY 2011"	"ACTIVE"	"MAY 2011"	"DARK POOL."
"NZFX"	"NEW ZEALAND"	"NZ"	"NZFX"	"O"	"NEW ZEALAND FUTURES & OPTIONS"	"NZFOX"	"AUCKLAND"	"WWW.NZFOX.NZX.COM"	"SEPTEMBER 2007"	"ACTIVE"	"SEPTEMBER 2007"	
"OLLC"	"UNITED STATES OF AMERICA"	"US"	"OLLC"	"O"	"OTCEX LLC"		"NEW YORK"	"WWW.OTCEXGROUP.COM"	"SEPTEMBER 2015"	"ACTIVE"	"SEPTEMBER 2015"	"REGISTERED BROKER FOR EQUITIES DERIVATIVES AND RATES DERIVATIVES IN NYC"
"OMEL"	"SPAIN"	"ES"	"OMEL"	"O"	"OMI POLO ESPANOL S.A. (OMIE)"	"OMIE"	"MADRID"	"WWW.OMIE.ES"	"NOVEMBER 2014"	"ACTIVE"	"MAY 2007"	"OMIE IS LEGAL SUCCESSOR OF OMEL AS MARKET OPERATOR BY WAY OF UNIVERSAL LEGAL SUCCESSION"
"OMGA"	"CANADA"	"CA"	"OMGA"	"O"	"OMEGA ATS"		"TORONTO"	"WWW.OMEGAATS.COM"	"JANUARY 2008"	"ACTIVE"	"JANUARY 2008"	
"OMIC"	"PORTUGAL"	"PT"	"OMIC"	"O"	"THE IBERIAN ENERGY CLEARING HOUSE"	"OMICLEAR"	"LISBOA"	"WWW.OMICLEAR.PT"	"JUNE 2013"	"ACTIVE"	"JUNE 2013"	"REGISTERED CLEARING HOUSE ACTING AS CENTRAL COUNTERPARTY FOR EXCHANGE AND OTC DERIVATIVES"
"OMIP"	"PORTUGAL"	"PT"	"XLIS"	"S"	"OPERADOR DE MERCADO IBERICO DE ENERGIA - PORTUGAL"	"OMIP"	"LISBOA"	"WWW.OMIP.PT"	"MAY 2007"	"ACTIVE"	"MAY 2007"	
"OOTC"	"UNITED STATES OF AMERICA"	"US"	"FINR"	"S"	"OTHER OTC"		"WASHINGTON"	"WWW.OTCBB.COM"	"APRIL 2013"	"ACTIVE"	"AUGUST 2012"	"OTC SECURITY THAT IS NOT QUOTED ON THE NNQS (PREVIOUSLY OTCBB) BUT IS ELIGIBLE FOR TRADE REPORTING TO THE TRADE REPORTING FACILITY, IS CATEGORIZED AS ""OTHER-OTC""."
"OPEX"	"PORTUGAL"	"PT"	"OPEX"	"O"	"PEX-PRIVATE EXCHANGE"	"OPEX"	"LISBOA"	"WWW.OPEX.PT"	"JUNE 2005"	"ACTIVE"	"JUNE 2005"	
"OPRA"	"UNITED STATES OF AMERICA"	"US"	"OPRA"	"O"	"OPTIONS PRICE REPORTING AUTHORITY"	"OPRA"	"CHICAGO"	"WWW.OPRADATA.COM"	"DECEMBER 2011"	"ACTIVE"	"DECEMBER 2011"	"TRADING CONSOLIDATOR."
"OSLC"	"NORWAY"	"NO"	"OSLC"	"O"	"SIX X-CLEAR AG"		"OSLO"	"WWW.SIX-SECURITIES-SERVICES.COM"	"JUNE 2015"	"ACTIVE"	"NOVEMBER 2013"	"SECURITIES LENDING, TRADE REGISTRATIONS AND FINANCIAL SETTLEMENT FOR DERIVATIVES. AS OF 1 MAY 2015 OSLO CLEARING ASA IS LEGALLY INTEGRATED INTO SIX X-CLEAR LTD."
"OTCB"	"UNITED STATES OF AMERICA"	"US"	"OTCM"	"S"	"OTCQB MARKETPLACE"		"NEW YORK"	"WWW.OTCMARKETS.COM"	"MAY 2010"	"ACTIVE"	"MAY 2010"	"OTCQB MARKET TIER HELPS INVESTORS EASILY IDENTIFY COMPANIES THAT ARE REGISTERED AND CURRENT IN THEIR REPORTING OBLIGATIONS WITH THE SEC OR REPORT TO A U.S. BANKING OR INSURANCE REGULATOR."
"OTCE"	"UNITED KINGDOM"	"GB"	"OTCE"	"O"	"OTCEX"		"LONDON"	"WWW.OTCEXGROUP.COM"	"APRIL 2016"	"ACTIVE"	"APRIL 2016"	"TRADE NAME: TRAYPORT."
"OTCM"	"UNITED STATES OF AMERICA"	"US"	"OTCM"	"O"	"OTC MARKETS"		"NEW YORK"	"WWW.OTCMARKETS.COM"	"MAY 2012"	"ACTIVE"	"MAY 2012"	"OPERATIONAL MIC FOR OTC MARKETS."
"OTCQ"	"UNITED STATES OF AMERICA"	"US"	"OTCM"	"S"	"OTCQX MARKETPLACE"		"NEW YORK"	"WWW.OTCMARKETS.COM"	"MAY 2016"	"ACTIVE"	"AUGUST 2008"	"ELECTRONIC QUOTATION SYSTEM FOR PREMIUM MARKET TIER (OPERATED BY PINK SHEETS)"
"OTCX"	"INDIA"	"IN"	"OTCX"	"O"	"OTC EXCHANGE OF INDIA"	"OTCEI"	"MUMBAI"	"WWW.OTCEI.NET"	"JUNE 2006"	"ACTIVE"	"JUNE 2006"	
"PARX"	"UNITED KINGDOM"	"GB"	"TRDE"	"S"	"PARFX"		"LONDON"	"WWW.PARFX.COM"	"SEPTEMBER 2013"	"ACTIVE"	"SEPTEMBER 2013"	"ELECTRONIC TRADING PLATFORM FOR SPOT FX"
"PAVE"	"SPAIN"	"ES"	"PAVE"	"O"	"ALTERNATIVE PLATFORM FOR SPANISH SECURITIES"	"PAVE"	"BARCELONA"	"WWW.PAVEPLATFORM.COM"	"MARCH 2012"	"ACTIVE"	"MARCH 2012"	
"PDEX"	"PHILIPPINES"	"PH"	"PDEX"	"O"	"PHILIPPINE DEALING AND EXCHANGE CORP"		"MAKATI CITY"	"WWW.PDEX.COM.PH"	"MAY 2010"	"ACTIVE"	"MAY 2010"	"PDEX PROVIDES A CENTRALIZED INFRASTRUCTURE FOR TRADING SECURITIES."
"PDQD"	"UNITED STATES OF AMERICA"	"US"	"PDQX"	"S"	"CODA MARKETS ATS DARK"		"ILLINOIS"	"WWW.PDQENTERPRISES.COM"	"MARCH 2017"	"ACTIVE"	"MAY 2011"	"DARK POOL."
"PDQX"	"UNITED STATES OF AMERICA"	"US"	"PDQX"	"O"	"CODA MARKETS"	"PDQX"	"GLENVIEW"	"WWW.PDQENTERPRISES.COM"	"MARCH 2017"	"ACTIVE"	"MAY 2011"	"PREVISOULY PDQ ATS."
"PEEL"	"UNITED KINGDOM"	"GB"	"PEEL"	"O"	"PEEL HUNT LLP UK"		"LONDON"	"WWW.PEELHUNT.COM"	"FEBRUARY 2014"	"ACTIVE"	"FEBRUARY 2014"	
"PFTQ"	"UKRAINE"	"UA"	"PFTS"	"S"	"PFTS QUOTE DRIVEN"		"KIEV"	"WWW.PFTS.COM"	"OCTOBER 2010"	"ACTIVE"	"OCTOBER 2010"	"QUOTE DRIVEN MARKET IS A TRADING SEGMENT UNDER PFTS STOCK EXCHANGE."
"PFTS"	"UKRAINE"	"UA"	"PFTS"	"O"	"PFTS STOCK EXCHANGE"	"PFTS"	"KIEV"	"WWW.PFTS.COM"	"MAY 2010"	"ACTIVE"	"MAY 2010"	
"PIEU"	"UNITED KINGDOM"	"GB"	"PIEU"	"O"	"ARITAS FINANCIAL LTD"		"LONDON"	"WWW.PIPELINETRADING.COM"	"FEBRUARY 2012"	"ACTIVE"	"FEBRUARY 2012"	"MTF FOR LARGE BLOCK PAN-EUROPEAN EQUITIES."
"PINC"	"UNITED STATES OF AMERICA"	"US"	"OTCM"	"S"	"OTC PINK CURRENT"		"NEW YORK"	"WWW.OTCMARKETS.COM"	"MAY 2012"	"ACTIVE"	"MAY 2012"	
"PINI"	"UNITED STATES OF AMERICA"	"US"	"OTCM"	"S"	"OTC PINK NO INFORMATION"		"NEW YORK"	"WWW.OTCMARKETS.COM"	"MAY 2012"	"ACTIVE"	"MAY 2012"	
"PINL"	"UNITED STATES OF AMERICA"	"US"	"OTCM"	"S"	"OTC PINK LIMITED"		"NEW YORK"	"WWW.OTCMARKETS.COM"	"MAY 2012"	"ACTIVE"	"MAY 2012"	
"PINX"	"UNITED STATES OF AMERICA"	"US"	"OTCM"	"S"	"OTC PINK MARKETPLACE"		"NEW YORK"	"WWW.OTCMARKETS.COM"	"MARCH 2012"	"ACTIVE"	"MARCH 2012"	
"PIPE"	"UNITED STATES OF AMERICA"	"US"	"PIPE"	"O"	"ARITAS SECURITIES LLC"		"NEW YORK"	"WWW.PIPELINETRADING.COM"	"FEBRUARY 2012"	"ACTIVE"	"FEBRUARY 2012"	
"PIRM"	"UNITED KINGDOM"	"GB"	"PIRM"	"O"	"PIRUM"		"LONDON"	"WWW.PIRUM.COM"	"JULY 2011"	"ACTIVE"	"JULY 2011"	"SECURITIES LENDING CCP FLOW PROVIDER."
"PLDX"	"UNITED KINGDOM"	"GB"	"LOTC"	"S"	"PLUS DERIVATIVES EXCHANGE"	"PLUS-DX"	"LONDON"	"WWW.PLUS-DX.COM"	"AUGUST 2013"	"ACTIVE"	"MARCH 2012"	"SERVICE COMPANY PROVIDING EXECUTION SERVICES FOR OTC DERIVATIVES."
"PLPD"	"POLAND"	"PL"	"XWAR"	"S"	"WARSAW STOCK EXCHANGE/COMMODITIES/POLISH POWER EXCHANGE/COMMODITY DERIVATIVES"	"WSE"	"WARSAW"	"WWW.TGE.PL"	"DECEMBER 2015"	"ACTIVE"	"MAY 2015"	
"PLPX"	"POLAND"	"PL"	"XWAR"	"S"	"WARSAW STOCK EXCHANGE/COMMODITIES/POLISH POWER EXCHANGE/ENERGY MARKET"		"WARSAW"	"WWW.TGE.PL"	"DECEMBER 2015"	"ACTIVE"	"JULY 2007"	
"PNED"	"SWEDEN"	"SE"	"XSTO"	"S"	"NASDAQ STOCKHOLM AB - PAN-NORDIC EQ DERIVATIVES"		"STOCKHOLM"	"WWW.NASDAQOMXNORDIC.COM"	"APRIL 2017"	"ACTIVE"	"APRIL 2017"	
"PORT"	"UNITED KINGDOM"	"GB"	"XMTS"	"S"	"MTS PORTUGAL"	"PTE"	"LONDON"	"WWW.MTSMARKETS.COM"	"JULY 2014"	"ACTIVE"	"JULY 2014"	"MTSD PORTUGAL IS OPERATING AS A DIVISION OF EUROMTS SINCE 30 JUNE 2014"
"PROS"	"MALTA"	"MT"	"XMAL"	"S"	"PROSPECTS"		"VALLETTA"	"WWW.SMEPROSPECTS.COM"	"NOVEMBER 2016"	"ACTIVE"	"NOVEMBER 2016"	"MTF"
"PRSE"	"UNITED STATES OF AMERICA"	"US"	"PRSE"	"O"	"PRAGMA ATS"		"NEW YORK"	"WWW.PRAGMATRADING.COM"	"DECEMBER 2010"	"ACTIVE"	"DECEMBER 2010"	"REGISTERED ATS FOR US EQUITIES"
"PSGM"	"UNITED STATES OF AMERICA"	"US"	"OTCM"	"S"	"OTC GREY MARKET"		"NEW YORK"	"WWW.OTCMARKETS.COM"	"MARCH 2012"	"ACTIVE"	"MARCH 2012"	
"PTPG"	"POLAND"	"PL"	"PTPG"	"O"	"POLISH TRADING POINT"	"PTP"	"WARSAW"	"WWW.POLISHTRADINGPOINT.COM"	"MARCH 2016"	"ACTIVE"	"MARCH 2016"	"ELECTRONIC TRADING PLATFORM FOR OTC ENERGY PRODUCTS"
"PULX"	"UNITED STATES OF AMERICA"	"US"	"PULX"	"O"	"BLOCKCROSS ATS"		"BOSTON"	"WWW.BLOCKCROSS.COM"	"NOVEMBER 2010"	"ACTIVE"	"NOVEMBER 2010"	"BLOCKCROSS, WHICH IS A DIVISION OF PULSE TRADING INC., AN INDEPENDENT AGENCY BROKERAGE FIRM, IS AN ALTERNATIVE BLOCK TRADING SYSTEM THAT COMBINES BUY AND SELL-SIDE LIQUIDITY TO PROVIDE A BROAD SPECTRUM OF BLOCK-SIZED TRADING OPPORTUNITIES."
"PURE"	"CANADA"	"CA"	"XCNQ"	"S"	"PURE TRADING"		"TORONTO"	"WWW.PURETRADING.CA"	"DECEMBER 2006"	"ACTIVE"	"DECEMBER 2006"	
"PXIL"	"INDIA"	"IN"	"PXIL"	"O"	"POWER EXCHANGE INDIA LTD."		"MUMBAI"	"WWW.POWEREXINDIA.COM"	"JULY 2009"	"ACTIVE"	"JULY 2009"	"ELECTRONIC NATION-WIDE EXCHANGE FOR TRADING OF ELECTRICITY"
"QWIX"	"UNITED KINGDOM"	"GB"	"QWIX"	"O"	"Q-WIXX PLATFORM"		"LONDON"	"WWW.QWIXX.COM"	"SEPTEMBER 2007"	"ACTIVE"	"SEPTEMBER 2007"	
"RBCE"	"UNITED KINGDOM"	"GB"	"RBCE"	"O"	"RBC EUROPE LIMITED"		"LONDON"	"WWW.RBC.COM"	"JUNE 2013"	"ACTIVE"	"JUNE 2013"	"EQUITIES BROKER FILL"
"RBSX"	"UNITED KINGDOM"	"GB"	"RBSX"	"O"	"RBS CROSS"		"LONDON"	"WWW.RBS.COM"	"MAY 2011"	"ACTIVE"	"MAY 2011"	"RBS CROSS IS THE BROKER CROSSING SYSTEM (BCS) OPERATED BY RBS."
"RCBX"	"UNITED STATES OF AMERICA"	"US"	"XINS"	"S"	"INSTINET RETAIL CBX"	"RCBX"	"NEW YORK"	"WWW.INSTINET.COM"	"FEBRUARY 2014"	"ACTIVE"	"FEBRUARY 2014"	"CONTINUOUS DARK LIMIT ORDER BOOK THAT ALLOWS PARTICIPANTS TO INTERACT ONLY WITH SPECIFIED COUNTERPARTIES."
"RICD"	"UNITED STATES OF AMERICA"	"US"	"RICX"	"S"	"RIVERCROSS DARK"	"RIVERX"	"NARBERTH"	"WWW.RXATS.COM"	"MAY 2011"	"ACTIVE"	"MAY 2011"	"DARK POOL."
"RICX"	"UNITED STATES OF AMERICA"	"US"	"RICX"	"O"	"RIVERCROSS"		"NARBERTH"	"WWW.RXATS.COM"	"MAY 2011"	"ACTIVE"	"MAY 2011"	"RIVERCROSS™ IS AN ALTERNATIVE TRADING SYSTEM (ATS) OPERATED PURSUANT TO REGULATION ATS BY RIVERCROSS SECURITIES, LLLP, PROVIDING A SECURE AND CONFIDENTIAL LIQUIDITY SOURCE FOR U.S.-REGISTERED BROKER-DEALERS AND THEIR CLIENTS."
"RMTS"	"UNITED KINGDOM"	"GB"	"XMTS"	"S"	"MTS ISRAEL"		"LONDON"	"WWW.MTSISRAEL.COM"	"AUGUST 2007"	"ACTIVE"	"AUGUST 2007"	
"ROCO"	"TAIWAN"	"TW"	"ROCO"	"O"	"TAIPEI EXCHANGE"	"TPEX"	"TAIPEI"	"WWW.TPEX.ORG.TW"	"APRIL 2015"	"ACTIVE"	"JUNE 2005"	
"ROFX"	"ARGENTINA"	"AR"	"ROFX"	"O"	"ROSARIO FUTURE EXCHANGE"	"ROFEX"	"ROSARIO"	"WWW.ROFEX.COM.AR"	"OCTOBER 2009"	"ACTIVE"	"OCTOBER 2009"	"REGISTERED MARKET FOR FUTURES AND OPTIONS."
"ROTC"	"RWANDA"	"RW"	"ROTC"	"O"	"RWANDA OTC MARKET"	"RSE"	"KIGALI"	"WWW.RSE.RW"	"JUNE 2008"	"ACTIVE"	"JUNE 2008"	
"RPDX"	"RUSSIA"	"RU"	"RPDX"	"O"	"MOSCOW ENERGY EXCHANGE"	"MOSENEX"	"MOSCOW"	"WWW.MOSENEX.RU"	"MARCH 2013"	"ACTIVE"	"MAY 2010"	"RUSSIAN POWER DERIVATIVES EXCHANGE."
"RPWC"	"POLAND"	"PL"	"XWAR"	"S"	"WARSAW STOCK EXCHANGE/BONDS/CATALYST/BONDSPOT/REGULATED MARKET"		"WARSAW"	"WWW.BONDSPOT.PL"	"AUGUST 2013"	"ACTIVE"	"APRIL 2011"	
"RSEX"	"RWANDA"	"RW"	"RSEX"	"O"	"RWANDA STOCK EXCHANGE"	"RSE"	"KIGALI"	"WWW.RSE.RW"	"AUGUST 2011"	"ACTIVE"	"AUGUST 2011"	"PRINCIPAL STOCK MARKET FOR EQUITY AND BONDS."
"RTSL"	"UNITED KINGDOM"	"GB"	"RTSL"	"O"	"REUTERS TRANSACTION SERVICES LIMITED"	"RTSL"	"LONDON"	"WWW.REUTERS.COM"	"AUGUST 2007"	"ACTIVE"	"AUGUST 2007"	
"RTSX"	"RUSSIA"	"RU"	"MISX"	"S"	"MOSCOW EXCHANGE-DERIVATIVES AND CLASSICA MARKET"	"MOEX"	"MOSCOW"	"WWW.MOEX.COM"	"OCTOBER 2015"	"ACTIVE"	"MARCH 2012"	"DERIVATIVES AND CLASSICA MARKET OF FORMER RTS EXCHANGE."
"RUSX"	"RUSSIA"	"RU"	"RUSX"	"O"	"NON-PROFIT PARTNERSHIP FOR THE DEVELOPMENT OF FINANCIAL MARKET RTS"	"NP RTS"	"MOSCOW"	"WWW.NPRTS.RU"	"JANUARY 2015"	"ACTIVE"	"DECEMBER 2014"	"MARKET OPERATOR FOR RUSSIAN OTC MARKET."
"S3FM"	"SWITZERLAND"	"CH"	"S3FM"	"O"	"SOCIETY3 FUNDERSMART"	"S3FM"	"LUZERN"	"HTTP://SOCIETY3.COM"	"JANUARY 2017"	"ACTIVE"	"JANUARY 2017"	"NON REGULATED, US SEC AND SWISS FINMA COMPLIANT AND BANKING LICENSE EXEMPT EQUITY FUNDRAISING AND TRADING PLATFORM."
"SBAR"	"SPAIN"	"ES"	"BMEX"	"S"	"BOLSA DE BARCELONA RENTA FIJA"		"BARCELONA"	"WWW.BOLSASYMERCADOS.ES"	"FEBRUARY 2017"	"ACTIVE"	"FEBRUARY 2017"	"ELECTRONIC TRADING PLATFORM FIXED INCOME BOLSA DE BARCELONA"
"SBIJ"	"JAPAN"	"JP"	"SBIJ"	"O"	"SBI JAPANNEXT-J-MARKET"		"TOKYO"	"WWW.JAPANNEXT.CO.JP"	"JUNE 2012"	"ACTIVE"	"APRIL 2008"	
"SBIL"	"SPAIN"	"ES"	"BMEX"	"S"	"BOLSA DE BILBAO RENTA FIJA"		"BILBAO"	"WWW.BOLSASYMERCADOS.ES"	"FEBRUARY 2017"	"ACTIVE"	"FEBRUARY 2017"	"ELECTRONIC TRADING PLATFORM FIXED INCOME BOLSA DE BILBAO."
"SBIU"	"JAPAN"	"JP"	"SBIJ"	"S"	"SBI JAPANNEXT - U - MARKET"		"TOKYO"	"WWW.JAPANNEXT.CO.JP"	"JANUARY 2015"	"ACTIVE"	"JANUARY 2015"	"JAPANNEXT - UNIFORM SPREAD MARKET"
"SBIV"	"JAPAN"	"JP"	"SBIJ"	"S"	"SBI JAPANNEXT - VWAP CROSSING"		"TOKYO"	"WWW.JAPANNEXT.CO.JP"	"JULY 2013"	"ACTIVE"	"JULY 2013"	"VWAP CROSSING PLATFORM"
"SBMF"	"ROMANIA"	"RO"	"BMFX"	"S"	"SPOT REGULATED MARKET - BMFMS"		"SIBIU"	"WWW.SIBEX.RO"	"FEBRUARY 2010"	"ACTIVE"	"FEBRUARY 2010"	
"SCXS"	"UNITED STATES OF AMERICA"	"US"	"SCXS"	"O"	"SEED SEF LLC"	"SEED SEF"	"CHICAGO"	"WWW.SEEDCX.COM"	"JULY 2016"	"ACTIVE"	"JULY 2016"	"REGISTERED MARKET FOR COMMODITIES: ELECTRONIC TRADING PLATFORM FOR LISTED DERIVATIVES."
"SEBX"	"SWEDEN"	"SE"	"SEBX"	"O"	"SEB - LIQUIDITY POOL"	"SEB"	"STOCKHOLM"	"WWW.SEB.SE"	"NOVEMBER 2012"	"ACTIVE"	"NOVEMBER 2012"	"SKANDINAVISKA ENSKILDA BANKEN AB LIQUIDITY POOL."
"SECF"	"UNITED KINGDOM"	"GB"	"SECF"	"O"	"SECFINEX"		"LONDON"	"WWW.SECFINEX.COM"	"JANUARY 2009"	"ACTIVE"	"JANUARY 2009"	"MULTILATERAL TRADING FACILITY - ELECTRONIC EXCHANGE FOR STOCK BORROWING AND LENDING TRANSACTIONS"
"SEDX"	"ITALY"	"IT"	"XMIL"	"S"	"SECURITISED DERIVATIVES MARKET"	"SEDEX"	"MILANO"	"WWW.BORSAITALIANA.IT"	"SEPTEMBER 2007"	"ACTIVE"	"SEPTEMBER 2007"	
"SEED"	"SWEDEN"	"SE"	"XSTO"	"S"	"NASDAQ STOCKHOLM AB - SWEDISH EQ DERIVATIVES"		"STOCKHOLM"	"WWW.NASDAQOMXNORDIC.COM"	"APRIL 2017"	"ACTIVE"	"APRIL 2017"	
"SELC"	"BRAZIL"	"BR"	"SELC"	"O"	"SISTEMA ESPECIAL DE LIQUIDACAO E CUSTODIA DE TITULOS PUBLICOS"		"RIO DE JANEIRO"	"WWW4.BCB.GOV.BR"	"JANUARY 2011"	"ACTIVE"	"JANUARY 2011"	"SELIC (SISTEMA ESPECIAL DE LIQUIDACAO E CUSTODIA DE TITULOS PUBLICOS - IN ENGLISH: SPECIAL SYSTEM FOR CUSTODY AND SETTLEMENT OF PUBLIC SECURITIES) IS THE CENTRAL CUSTODIAN FOR ALL SECURITIES EMITTED BY THE BRAZILIAN NATIONAL TREASURY."
"SEND"	"SPAIN"	"ES"	"BMEX"	"S"	"SEND - SISTEMA ELECTRONICO DE NEGOCIACION DE DEUDA"	"SEND"	"MADRID"	"WWW.AIAF.ES"	"OCTOBER 2013"	"ACTIVE"	"JUNE 2010"	"SEND IS AN ELECTRONIC TRADING PLATFORM, DEVELOPED BY AIAF MERCADO DE RENTA FIJA, DESIGNED FOR THE TRADING OF RETAIL DISTRIBUTED FIXED INCOME SECURITIES LISTED IN THIS MARKET."
"SEPE"	"UKRAINE"	"UA"	"SEPE"	"O"	"STOCK EXCHANGE PERSPECTIVA"		"DNIPROPETROVSK"	"FBP.COM.UA"	"MAY 2010"	"ACTIVE"	"MAY 2010"	
"SGEX"	"CHINA"	"CN"	"SGEX"	"O"	"SHANGHAI GOLD EXCHANGE"	"SGE"	"SHANGHAI"	"WWW.SGE.SH"	"JUNE 2006"	"ACTIVE"	"JUNE 2006"	
"SGMA"	"UNITED STATES OF AMERICA"	"US"	"SGMA"	"O"	"GOLDMAN SACH MTF"		"NEW YORK"	"WWW2.GOLDMANSACHS.COM"	"MARCH 2008"	"ACTIVE"	"MARCH 2008"	"GS'S MTF. IMPLEMENTATION DATE: FEBRUARY 1ST 2008"
"SGMT"	"UNITED STATES OF AMERICA"	"US"	"SGMT"	"O"	"SIGMA X2"	"SGMT"	"NEW YORK"	"WWW.GOLDMANSACHS.COM"	"DECEMBER 2016"	"ACTIVE"	"DECEMBER 2016"	"SIGMA X2 (SGMT) IS THE ATS OF REGISTERED BROKER-DEALER GOLDMAN SACHS & CO (""GSCO"")."
"SGMX"	"UNITED KINGDOM"	"GB"	"SGMX"	"O"	"SIGMA X MTF"		"LONDON"	"HTTP://GSET.GS.COM/SIGMAXMTF/"	"FEBRUARY 2010"	"ACTIVE"	"FEBRUARY 2010"	"ELECTRONIC TRADING PLATFORM FOR EUROPEAN EQUITIES."
"SHAD"	"UNITED STATES OF AMERICA"	"US"	"SHAW"	"S"	"D.E. SHAW DARK"		"NEW YORK"	"WWW.DESHAW.COM"	"MAY 2011"	"ACTIVE"	"MAY 2011"	"DARK POOL."
"SHAR"	"UNITED KINGDOM"	"GB"	"SHAR"	"O"	"ASSET MATCH"		"AYLESBURY"	"WWW.SHAREMARK.COM"	"DECEMBER 2012"	"ACTIVE"	"SEPTEMBER 2007"	
"SHAW"	"UNITED STATES OF AMERICA"	"US"	"SHAW"	"O"	"D.E. SHAW"		"NEW YORK"	"WWW.DESHAW.COM"	"MAY 2011"	"ACTIVE"	"MAY 2011"	
"SHSC"	"HONG KONG"	"HK"	"XHKG"	"S"	"STOCK EXCHANGE OF HONG KONG LIMITED - SHANGHAI - HONG KONG STOCK CONNECT"	"SEHK"	"HONG KONG"	"WWW.HKEX.COM.HK"	"AUGUST 2014"	"ACTIVE"	"AUGUST 2014"	"MAINLAND INVESTORS TRADING IN SEHK SECURITIES UNDER SHANGHAI-HONG KONG STOCK CONNECT"
"SIGA"	"AUSTRALIA"	"AU"	"SIGA"	"O"	"SIGMA X AUSTRALIA"		"SYDNEY"	"WWW.GSET.GS.COM"	"FEBRUARY 2012"	"ACTIVE"	"FEBRUARY 2012"	"ALTERNATIVE TRADING SYSTEM (ATS)OPERATED BY GOLDMAN SACHS"
"SIGH"	"HONG KONG"	"HK"	"SIGH"	"O"	"SIGMA X HONG KONG"	"GSET"	"HONG-KONG"	"WWW.GSET.GS.COM"	"MARCH 2012"	"ACTIVE"	"MARCH 2012"	
"SIGJ"	"JAPAN"	"JP"	"SIGJ"	"O"	"SIGMA X JAPAN"		"TOKYO"	"WWW.GSET.GS.COM"	"FEBRUARY 2012"	"ACTIVE"	"FEBRUARY 2012"	"ALTERNATIVE TRADING SYSTEM (ATS)OPERATED BY GOLDMAN SACHS"
"SIMV"	"AUSTRALIA"	"AU"	"SIMV"	"O"	"SIM VENTURE SECURITIES EXCHANGE"		"SYDNEY"	"WWW.SIMVSE.COM.AU"	"DECEMBER 2011"	"ACTIVE"	"DECEMBER 2011"	
"SMEX"	"SINGAPORE"	"SG"	"SMEX"	"O"	"SINGAPORE MERCANTILE EXCHANGE PTE LTD"		"SINGAPORE"	"WWW.SMX.COM.SG"	"DECEMBER 2009"	"ACTIVE"	"DECEMBER 2009"	"SMX IS ASIA'S FIRST MULTI-PRODUCT GLOBAL COMMODITY DERIVATIVES EXCHANGE."
"SMTS"	"UNITED KINGDOM"	"GB"	"XMTS"	"S"	"MTS SPAIN"		"LONDON"	"WWW.MTSSPAIN.COM"	"FEBRUARY 2011"	"ACTIVE"	"FEBRUARY 2011"	
"SNSI"	"DENMARK"	"DK"	"SNSI"	"O"	"SPAR NORD BANK - SYSTEMATIC INTERNALISER"		"AALBORG"	"WWW.SPARNORD.DK"	"MAY 2017"	"ACTIVE"	"MAY 2017"	"SYSTEMATIC INTERNALISER."
